Date,open,high,low,close,volume,sma_20,sma_50,sma_200,macd,macd_signal,macd_hist,adx,adx_pos,adx_neg,cci,aroon_up,aroon_down,rsi_14,rsi_7,stoch_k,stoch_d,roc_10,roc_30,williams,awesome,bb_width,bb_pct,atr,atr_pct,hv_20,hv_60,hv_90,obv,mfi,vol_ratio,cmf,returns_1d,returns_5d,returns_20d,returns_60d,gap,candle_body,above_sma20,above_sma50,above_sma200,price_sma20_pct,price_sma50_pct,52w_pct,golden_cross,death_cross,target_6mo,target_1yr,future_126,future_252,ticker
2021-03-04,118.58396379730593,120.38585416346812,115.5353602573882,117.00608825683594,178155000,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,,178155000,,,,,,,,,-0.013305977384545233,0,0,0,,,,0,0,1,1,0.2736029773173603,0.3919751552892232,AAPL
2021-03-05,117.83399731994244,118.76903225470892,114.51266857773292,118.2625503540039,153766600,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,,331921600,,,,0.010738433494246413,,,,0.007075777640579808,0.003636921803596487,0,0,0,,,,0,0,1,1,0.26949084082746366,0.3518349149717608,AAPL
2021-03-08,117.78528895665244,117.85346835184752,113.1880285063647,113.3341293334961,154376600,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,,177545000,,,,-0.04167355604758405,,,,-0.004035608871268314,-0.03779045467007919,0,0,0,,,,0,0,1,1,0.33029954834526,0.3771639868270005,AAPL
2021-03-09,115.93469539878758,118.88590088596752,115.70093853482196,117.94112396240234,129525800,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,,307070800,,,,0.040649667103805465,,,,0.022946010002125112,0.017306541037571378,0,0,0,,,,0,0,1,1,0.2981361593952536,0.3079173976159437,AAPL
2021-03-10,118.52553226949556,118.99304601715156,116.34377667711072,116.86000061035156,111943300,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,,195127500,,,,-0.009166635993696493,,,,0.004955085109029124,-0.014052091791859376,0,0,0,,,,0,0,1,1,0.2969346495290157,0.36621498335778746,AAPL
2021-03-11,119.35342480023796,120.00600008566362,118.1067115889779,118.78850555419922,103026500,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,,298154000,,,,0.016502694966414655,0.015233543176409459,,,0.02133684902312238,-0.004733163266823003,0,0,0,,,,0,0,1,1,0.26732459220697535,0.30749544295457754,AAPL
2021-03-12,117.2690530861972,118.01902630934984,116.06130081484936,117.8826675415039,88105100,,,,,,,0.0,0.0,0.0,,,,,54.08150423070389,,,,,,,,,0.0,0.0,,,,210048900,,,,-0.007625636912167444,-0.003212198716862291,,,-0.01279124155068984,0.005232535261032936,0,0,0,,,,0,0,1,1,0.2347902096657477,0.2860419088147479,AAPL
2021-03-15,118.25279105319385,120.77543569972144,117.28853020817763,120.76569366455078,92403800,,,,,,,0.0,0.0,0.0,,,,,66.09201538982074,,,,,,,,,0.0,0.0,,,,302452700,,,,0.024456743159734007,0.06557216590235249,,,0.00313976192943282,0.021250260471275487,0,0,0,,,,0,0,1,1,0.2100048512221333,0.22199562688763486,AAPL
2021-03-16,122.43124321692927,123.91172068145192,121.476731695984,122.30462646484376,115227900,,,,,,,0.0,0.0,0.0,,,,,70.8415978116972,,,,,,,,,0.0,0.0,,,,417680600,,,,0.012743128893605071,0.036997294547001625,,,0.013791578566932064,-0.0010341866075812942,0,0,0,,,,0,0,1,1,0.18335504998156016,0.242428658190603,AAPL
2021-03-17,120.82415767726631,122.58708734300563,119.158618654754,121.51569366455078,111932600,,,,,,,0.0,0.0,0.0,,,,,65.36552340821719,,,,,,,,,0.0,0.0,,,,305748000,,,,-0.006450555658413792,0.03983991981758406,,,-0.012104765210912962,0.0057234910681182435,0,0,0,,,,0,0,1,1,0.1983552773052315,0.286778397224138,AAPL
